codigo_producto,nombre_producto,categoria,apariciones_visibles,clientes
RE-FVL357-8324,TOYO GARI BLANCO 9 KG,Frescos,149,133
RE-FVL357-8326,TOYO GARI ROSA 9 KG,Frescos,73,66
RE-PDM456-5423,SM ATUN ALETA AZUL FRESCO EN LOMO TALLA - 50 KG,Pescados y Mariscos,4,3
RE-SAL501-12984,ASSI KOCHIJAN 300 G N,Salsas,27,26
RE-SAL501-13178,ASSI TOPOKKI SAUCE 340 G,Salsas,17,16
RE-SAL549-12986,GP SALSA PIÑA HABANERO PZA,Salsas,1,1
RE-SAL549-12988,GP SALSA AGRIDULCE THAI PZA,Salsas,1,1
RE-SAL549-12990,GP SALSA GENKI ORIGINAL PZA,Salsas,1,1
RE-SAL549-13478,GYUKAKU SALSA BBQ 2 KG,Salsas,2,2
RE-SAL549-13479,GYUKAKU SALSA PICANTE 2 KG,Salsas,1,1
RE-SAL549-13480,GYUKAKU SALSA MISO TARE 2 KG,Salsas,2,2
RE-SAL549-13481,GYUKAKU SALSA MOMI PARA MARINAR 1 KG,Salsas,2,2
RE-SAL549-13482,GYUKAKU SALSA PONZU YUZU 2 KG,Salsas,1,1
RE-SAL549-13484,GYUKAKU SALSA UMAKARA 2 KG,Salsas,1,1
RE-SAL549-13486,GYUKAKU SALSA SUPER PICANTE 2 KG,Salsas,1,1
RE-SYE551-0974,MARUKOME AKA MISO 20 KG.,Abarrotes,31,27
RE-SYE551-10013,ROKKO MISO ASHIYA KURADUKURI SHIRO MISO 300G,Abarrotes,23,22
RE-SYE551-10014,ROKKO MISO ASHIYA KURADUKURI AKADASHI MISO 300G,Abarrotes,31,26
RE-SYE551-1003,MARUKOME MISO WHITE 44LBS,Abarrotes,88,77
RE-SYE551-11472,YAMAJIRUSHI MISO BLANCO 2.27 KG.,Abarrotes,14,14
RE-SYE551-12991,ICHIBIKI NAGOYA HACCHO AKA DASHI MISO 400 G,Abarrotes,30,26
RE-SYE551-13093,FUKUYAMA TOMOE HOKKAIDO MINORI MISO 300 G,Abarrotes,4,3
RE-SYE551-13094,FUKUYAMA TOMOE INAKA MISO 500 G,Abarrotes,3,3
RE-SYE551-13095,FUKUYAMA TOMOE KURA JIKOMI MISO 500 G,Abarrotes,3,3
RE-SYE551-13549,HANAMARUKI DASHIIRI FUMI ICHIBAN MISO 650 G,Abarrotes,32,31
RE-SYE551-13550,HANAMARUKI DASHIIRI FUMI ICHIBAN MISO BAJO DE SAL 650 G,Abarrotes,40,37
RE-SYE551-14013,ROKKO MISO ASHIYA KURADUKURI CHOJUKU MISO 300 G,Abarrotes,27,24
RE-SYE551-1522,SHIRAKIKU MISO WHITE BAG 2.2LB,Abarrotes,21,21
RE-SYE551-7100,HIKARI SHIROKOSHI MISO 20 KG,Abarrotes,44,43
RE-SYE554-12987,GP ADEREZO CACAHUATE PZA,Abarrotes,1,1
RE-SYE554-13477,GYUKAKU ADEREZO 2 KG,Abarrotes,2,2
RE-SYE599-13483,GYUKAKU SAZONADOR SHIO TARE 2 KG,Abarrotes,2,2
RE-SYE599-13493,GYUKAKU TAIL SOUP 2 KG,Abarrotes,2,2
RE-TE654-13122,YAMASHIRO TE VERDE MATCHA MIYABINO SHIRO 1 KG,Frescos,12,10
RE-TE654-13179,YAMASHIRO TE VERDE MATCHA MIYABINO SHIRO 40 G,Frescos,14,14
RE-TE654-13733,YAMASHIRO TE VERDE MATCHA TENRAKU 1 KG,Frescos,2,1
RE-TE654-13734,YAMASHIRO TE VERDE MATCHA UNJYONO TSURU 1 KG,Frescos,2,1
RE-TE654-14189,YAMASHIRO TÉ VERDE MATCHA UNJYONO TSURU 100 G,Frescos,1,1
RE-TQO700-11374,ISHIBASHIYA KONNYAKU NEGRO 250 G,Tofu,2,2
RE-TQO700-12118,ISHIBASHIYA FUKKOKUBAN SHIRATAKI 260 G,Tofu,83,72
RE-TQO700-13055,HIKAWA TEMAKI SHIRATAKI 200 G,Tofu,4,4
RE-TQO700-13056,HIKAWA ITA KONNYAKU NEGRO 250 G,Tofu,1,1
RE-TQO700-13057,HIKAWA ITA KONNYAKU BLANCO 250 G,Tofu,3,3
RE-TQO700-13058,HIKAWA SHIRATAKI 200 G,Tofu,15,15
RE-TQO700-13352,ISHIBASHIYA NOBEGATA ITA KONNYAKU 180 G,Tofu,73,68
RE-TQO700-8710,ISHIBASHIYA KONNYAKU MINI KURO 125 G,Tofu,40,36
RE-TQO700-8712,ISHIBASHIYA SASHIMI KONNYAKU YUZU 145 G,Tofu,5,5
RE-TQO701-11834,PHILADELPHIA CREAMY & SOFT QUESO CREMA 1.900 KG,Tofu,1,1
SE-ACE050-10085,KUKI ACEITE DE AJONJOLI BLANCO 1.6 KG,Aceites,42,41
SE-ACE050-9986,KUKI ACEITE DE AJONJOLI BLANCO 600 G,Aceites,40,39
SE-ACE051-12651,TSUNO ACEITE DE ARROZ 180 G,Aceites,16,16
SE-ACE051-12652,TSUNO ACEITE DE ARROZ 500 G,Aceites,19,19
SE-ACE099-10327,MARUKYO/MIYAKO ACEITE DE SOYA 16.56 L,Salsas,1,1
SE-ACE099-14190,TETSUJIN RAYU 900 ML,Aceites,59,54
SE-ACE099-1875,GRANO DE ORO ACEITE DE CANOLA 20 L,Aceites,72,62
SE-ACE099-8368,MIYAKO GEKIKARA RAYU 1.89 LT,Aceites,19,19
SE-ACE099-9924,AVE ACEITE VEGETAL 10 L,Aceites,71,58
SE-ARR101-10758,RHEE CHUN ARROZ U.S. # 1 18.14 KG,Arroces,32,31
SE-ARR102-11402,TOYO ARROZ JAPONÉS PREMIUM 10 KG,Arroces,64,54
SE-ARR102-1810,TAMAKI CLASIC ARROZ 22.68 KG.,Arroces,10,8
SE-ARR149-10968,MARUCHAN ATTAKA SEKIHAN 160 G,Arroces,24,22
SE-ARR149-13380,ZEN-NOH GOHAN HATSUGA GENMAI 150 G,Arroces,27,26
SE-ARR149-13709,TAIMATSU KAGAMI MOCHI GM-48 120 G,Arroces,44,42
SE-ARR149-14007,HAKUBAKU MOCHIMUGI OKAYU 180 G,Arroces,4,4
SE-ARR149-14008,HAKUBAKU GOKOKU OKAYU 180 G,Arroces,7,7
SE-ARR149-14009,HAKUBAKU ATONOSE MOCHIMUGI 50 G,Arroces,6,6
SE-ARR149-14011,IRIS MIYAKOGANE MOCHI 400 G,Arroces,37,35
SE-BEB150-10690,UCC SHOKUNIN NO COFFEE MILK NI SAITEKI 900 ML,Bebidas,37,35
SE-BEB150-10691,UCC SHOKUNIN NO COFFEE MUTOU 900ML,Bebidas,39,35
SE-BEB150-11911,UCC OISHII DECAF COFFEE MUTOU 900 ML,Bebidas,50,45
SE-BEB150-13233,UCC GOLD SPECIAL SPECIAL BLEND 250 G,Bebidas,2,2
SE-BEB151-13885,YOUUS CERVEZA JEJU BAENGNOKDAM ALE 4.3% 500 ML,Bebidas,26,25
SE-BEB151-13886,YOUUS CERVEZA GWANGHWAMUN ALE 5% 500 ML,Bebidas,33,33
SE-BEB151-13887,YOUUS CERVEZA KYEONGBOKGUNG IPA 4.5% 500 ML,Bebidas,35,34
SE-BEB151-13888,YOUUS CERVEZA SEONGSAN ILCHULBONG ALE 5% 500 ML,Bebidas,27,26
SE-BEB151-13889,YOUUS CERVEZA NAMSAN ALE 4.5% 500 ML,Bebidas,19,18
SE-BEB152-0113,CHA-BON-BON JUICE KIWI 5 LB,Bebidas,2,2
SE-BEB152-0114,CHA-BON-BON JUICE LYCHEE 5 LB,Bebidas,60,53
SE-BEB152-0115,CHA-BON-BON JUICE MANGO 5 LB.,Bebidas,1,1
SE-BEB152-0118,CHA-BON-BON JUICE STRAWBERRY 5 LB,Bebidas,1,1
SE-BEB152-13260,LEAMAXX / BOSSEN JARABE SABOR FRESA SIN PULPA 2.5 KG,Bebidas,75,70
SE-BEB152-13261,LEAMAXX / BOSSEN JARABE SABOR MANGO 2.5 KG,Bebidas,21,20
SE-BEB152-13262,LEAMAXX / BOSSEN JARABE SABOR NARANJA 2.5,Bebidas,11,10
SE-BEB152-13563,FAMILY BEAR TÉ LIQUIDO LIMON MIEL 1KG,Bebidas,90,83
SE-BEB152-13566,FAMILY BEAR TÉ LIQUIDO MARACUYA 1 KG,Bebidas,79,71
SE-BEB152-14049,TOMINAGA OKINAWA SHIKUWASA SODA 185 ml,Bebidas,48,45
SE-BEB153-11751,EMPEROR L OOLONG TEA LATTE 16G×5,Bebidas,53,50
SE-BEB154-13715,KIERO KOMBUCHA LIMON AMARILLO CON JENGIBRE 280 ML,Bebidas,22,20
SE-BEB154-13716,KIERO KOMBUCHA JAMAICA CON ROMERO 280 ML,Bebidas,21,20
SE-BEB154-13852,SFC BIO SPARKLING SANDÍA 350 ML,Bebidas,453,396
SE-BEB154-13853,SFC BIO SPARKLING CIRUELA 350 ML,Bebidas,436,376
SE-BEB154-13854,SFC BIO SPARKLING MELON 350 ML,Bebidas,460,399
SE-BEB154-13855,SFC BIO SPARKLING MANGO 350 ML,Bebidas,577,493
SE-BEB154-13856,SFC BIO SPARKLING CALAMANSI 350 ML,Bebidas,395,346
SE-BEB154-13880,YOUUS SINGHA SODA LIMON 350 ML,Bebidas,166,153
SE-BEB154-13960,OKF KOMBUCHA PIÑA DURAZNO 500 ML,Bebidas,231,206
SE-BEB154-13961,OKF KOMBUCHA CEREZA 500 ML,Bebidas,246,226
SE-BEB154-13962,OKF KOMBUCHA MANGO LIMON 500 ML,Bebidas,241,215
SE-BEB154-13963,OKF SPARKLING MORA AZUL 350 ML,Bebidas,892,749
SE-BEB154-13964,OKF SPARKLING LIMONADA AZUL 350 ML,Bebidas,867,730
SE-BEB154-13965,OKF SPARKLING SABOR KIWI 350 ML,Bebidas,764,640
SE-BEB154-13966,OKF SPARKLING LIMONADA ROSA 350 ML,Bebidas,830,713
SE-BEB154-13967,OKF JUGO DE MANGO CON ALOE 500 ML,Bebidas,210,185
SE-BEB154-13968,OKF JUGO DE PIÑA CON ALOE 500 ML,Bebidas,140,131
SE-BEB155-13453,ALPS JUGO DE UVA 250 ML,Bebidas,38,35
SE-BEB155-13454,ALPS JUGO DE UVA BLANCA 250 ML,Bebidas,30,28
SE-BEB155-13455,ALPS JUGO DE MANZANA 250 ML,Bebidas,37,34
SE-BEB155-13456,ALPS JUGO DE DURAZNO 250 ML,Bebidas,22,21
SE-BEB155-13872,YOUUS JUGO DE MANZANA 330 ML,Bebidas,135,125
SE-BEB155-13873,YOUUS JUGO DE CITRICOS 330 ML,Bebidas,170,160
SE-BEB155-13874,YOUUS JUGO DE TORONJA 330 ML,Bebidas,178,164
SE-BEB155-13875,YOUUS FRESH UVA VERDE 340 ML,Bebidas,313,278
SE-BEB155-13876,YOUUS FRESH MANDARINA JEJU 340 ML,Bebidas,265,242
SE-BEB155-13877,YOUUS FRESH DURAZNO 340 ML,Bebidas,274,248
SE-BEB155-13878,YOUUS JUGO DE DURAZNO 330 ML,Bebidas,216,199
SE-BEB155-13879,YOUUS JUGO DE UVA ROJA 330 ML,Bebidas,145,134
SE-BEB155-14343,OKINAWA JUGO DE LIMON JAPONES 300ML,Otros,3,3
SE-BEB156-11204,KAGATOBI GINJO UMESHU 300 ML,Bebidas,7,7
SE-BEB156-11205,KAGATOBI GINJO UMESHU 720 ML,Bebidas,13,11
SE-BEB157-11190,KAGATOBI JUNMAI DAIGINJO SENNICHI KAKOI NISHIKIE LABEL 720 ML,Bebidas,4,3
SE-BEB157-11192,KAGATOBI JUNMAI DAIGINJO AI 720 ML,Bebidas,6,6
SE-BEB157-11913,SAWANOTSURU JYOSEN HONJOZO NAMA 300 ML,Bebidas,5,5
SE-BEB157-13019,BEKSEJU VINO DE ARROZ Y 12 HIERBAS 375 ML,Bebidas,1,1
SE-BEB157-13227,KAKUBOSHI MIZUTORIKI TOKUBETSU JUNMAI CHOKARAKUCHI 720 ML,Bebidas,2,2
SE-BEB157-13228,MIYAKANBAI JUNMAI DAIGINJO 720 ML,Bebidas,3,3
SE-BEB157-13267,HANA SAKE SABOR DURAZNO BLANCO 375 ML,Bebidas,1,1
SE-BEB157-13564,HAKUTSURU CHIKA SAKE CUP 200 ML,Bebidas,2,2
SE-BEB157-13565,HAKUTSURU TANREI JUNMAI 180 ML,Bebidas,2,2
SE-BEB157-13732,HAKUTSURU BLANC 720 ML,Bebidas,6,6
SE-BEB157-13733,ICHINOKURA SUZUNE GALA ESPUMOSO 375 ML,Bebidas,5,5
SE-BEB157-13734,ICHINOKURA MADENA 180 ML,Bebidas,1,1
SE-BEB157-7891,SUEHIRO DAIGINJO 300 ML,Bebidas,4,4
SE-BEB157-9604,GEKKEIKAN NAMA JUNMAI SAKE 300 ML,Otros,2,2
SE-BEB158-0715,MAKGEOLLI FRESA 750 ML,Bebidas,3,3
SE-BEB158-11120,NISHIYOSHIDA SYUZO TSUKUSHI SHIRO 720ML,Bebidas,4,4
SE-BEB158-11121,NISHIYOSHIDA SYUZO TSUKUSHI KURO 720ML,Bebidas,3,3
SE-BEB158-11122,NISHIYOSHIDA SYUZO TSUKUSHI BAISEN MUGI 720ML,Bebidas,3,3
SE-BEB158-13330,SANWA IICHIKO PACK 1.8 L,Bebidas,50,46
SE-BEB158-13495,HAMADA CHILL GREEN BITTER & TROPICAL 720 ML,Bebidas,2,2
SE-BEB158-13969,LOTTE CHUM CHURUM SAERO KIWI 375 ML,Bebidas,1,1
SE-BEB158-13970,LOTTE SOON HARI LYCHEE 365 ML,Bebidas,104,104
SE-BEB158-13971,LOTTE SOON HARI CIRUELA 365 ML,Bebidas,39,39
SE-BEB159-13468,CANTABILE MANGO 230 ML,Bebidas,784,706
SE-BEB159-13959,CANTABILE LIMON 230 ML,Bebidas,454,412
SE-BEB160-10687,UCC KOCHA NO JIKAN STRAIGHT TEA MUTO 900ML,Bebidas,43,40
SE-BEB160-10688,UCC KOCHA NO JIKAN STRAIGHT TEA TEITOU 900 ML,Bebidas,45,42
SE-BEB160-10689,UCC KOCHA NO JIKAN LEMON TEA TEITOU 900 ML,Bebidas,31,29
SE-BEB160-10989,SANGARIA ANATA NO KOUBASHII MUGICHA 600 ML,Bebidas,123,114
SE-BEB160-11341,SANGARIA ANATANO HOUJICHA PET 600 ML,Bebidas,145,135
SE-BEB160-14010,IRIS TÉ VERDE 500 ML,Bebidas,91,86
SE-BEB163-13006,FUJI MW AGUA MINERAL EN BOTELLA DE VIDRIO 700 ML,Bebidas,46,46
SE-BEB199-12252,SUNTORY WHISKY TOKI 750 ML,Bebidas,2,2
SE-BEB199-12253,SUNTORY GIN ROKU 700 ML,Bebidas,1,1
SE-BEB199-12254,SUNTORY WHIKSY HIBIKI 750 ML,Bebidas,3,3
SE-BEB199-13663,YONG HE POLVO PARA BEBIDA DE SOYA 300G,Bebidas,6,6
SE-BEB199-13890,YOUUS FRESHBALL HIGHBALL NARANJA 500 ML,Bebidas,21,20
SE-BEB199-13891,YOUUS FRESHBALL HIGHBALL TORONJA 500 ML,Bebidas,23,22
SE-BEB199-13892,YOUUS FRESHBALL HIGHBALL LIMON 500 ML,Bebidas,23,23
SE-BEB199-14287,C-100 TORONJA 445 ML,Bebidas,78,70
SE-CAR249-13662,MEI LIN FIAMBRE 340G,Carnes,6,6
SE-DCB302-13627,WHITE RABBIT DULCE DE LECHE SABOR YOGURT 180G,Dulces y Botanas,9,9
SE-DCB303-13515,FUJIYA COUNTRY MA'AM GENSEN CHOCOLATE 12P 127.2 G,Dulces y Botanas,19,18
SE-DCB303-13516,FUJIYA COUNTRY MA'AM GENSEN VANILLA 12P 127.2 G,Dulces y Botanas,19,19
SE-DEL250-13720,KITCHEN ONIGIRI SALMÓN,Pan y Deli,9,9
SE-DEL250-13721,KITCHEN ONIGIRI CURRY,Pan y Deli,5,5
SE-DEL250-13722,KITCHEN ONIGIRI EBI CHILI,Pan y Deli,7,7
SE-DEL250-13723,KITCHEN ONIGIRI ATÚN MAYO,Pan y Deli,12,12
SE-DEL250-13724,KITCHEN PLATILLO EBI CHILI,Pan y Deli,27,24
SE-DEL250-13725,KITCHEN PLATILLO MENCHI KATSU,Pan y Deli,19,17
SE-DEL250-13893,KITCHEN ESPECIAL 1,Pan y Deli,5,5
SE-DEL250-13894,KITCHEN ESPECIAL 2,Pan y Deli,6,6
SE-DEL250-13895,KITCHEN ESPECIAL 3,Pan y Deli,4,4
SE-DEL250-13922,KITCHEN ONIGIRI MENTAI QUESO,Pan y Deli,2,2
SE-DEL250-13923,KITCHEN ONIGIRI MENTAIKO -CAVIAR JAPONES-,Pan y Deli,4,4
SE-DEL250-13924,KITCHEN ONIGIRI VEGETARIANO -UME&EDAMAME&KOMBU-,Pan y Deli,8,8
SE-DEL250-13925,KITCHEN ONIGIRI YAKI ONIGIRI -A LA PARRILLA-,Pan y Deli,7,7
SE-DEL250-13926,KITCHEN ONIGIRI HOJUELAS DE BONITO,Pan y Deli,3,3
SE-DEL250-13927,KITCHEN ONIGIRI BUTA KIMCHI -SALTEADO DE CERDO Y KIMCHI-,Pan y Deli,7,7
SE-DEL250-13928,KITCHEN ONIGIRI KARAAGE -POLLO FRITO-,Pan y Deli,8,8
SE-DEL250-13929,KITCHEN PLATILLO KARAAGE,Pan y Deli,8,8
SE-DEL250-13930,KITCHEN PLATILLO GYOZA,Pan y Deli,13,12
SE-DEL250-13931,KITCHEN PLATILLO ROLLITOS PRIMAVERA,Pan y Deli,20,19
SE-DEL250-13932,KITCHEN PLATILLO TONKATSU,Pan y Deli,25,24
SE-DEL250-13933,KITCHEN PLATILLO TEMPURA DE CAMARÓN,Pan y Deli,4,4
SE-DEL250-14080,KITCHEN PLATILLO KARAAGE DE PULPO,Pan y Deli,4,4
SE-DEL250-14191,KITCHEN PLATILLO DE TAKOYAKI 1 PZ,Pan y Deli,20,19
SE-DEL250-14192,KITCHEN PLATILLO DE ARROZ 1 P,Pan y Deli,7,7
SE-DEL250-14426,KITCHEN PLATILLO SUSHI TAMPICO PZ,Pan y Deli,2,2
SE-DEL250-14427,KITCHEN PLATILLO SUSHI TONKATSU PZ,Pan y Deli,2,2
SE-DEL250-14428,KITCHEN PLATILLO GYOZA DE CERDO PZ,Pan y Deli,10,10
SE-DEL250-14429,TOYO ONIGUIRI EXCLUSIVO,Pan y Deli,1,1
SE-DEL250-5613,TOYO PAN ARANDANO,Pan y Deli,48,43
SE-DEL250-5620,TOYO PAN DE CHOCOLATE,Pan y Deli,67,59
SE-DEL251-13747,IRO IRO TÉ VERDE INFUSIÓN [12 OZ],Pan y Deli,2,2
SE-DEL251-13748,IRO IRO TÉ NEGRO INFUSIÓN [12 OZ],Pan y Deli,2,2
SE-DEL251-13749,IRO IRO TÉ OOLONG INFUSIÓN [12 OZ],Pan y Deli,2,2
SE-DEL251-13750,IRO IRO HOJICHA INFUSIÓN [12 OZ],Pan y Deli,4,4
SE-DEL251-13751,IRO IRO JAZMÍN INFUSIÓN [12 OZ],Pan y Deli,5,5
SE-DEL251-13752,IRO IRO TÉ VERDE FRÍO [16 OZ],Pan y Deli,4,4
SE-DEL251-13753,IRO IRO TÉ NEGRO Frío [16 oz],Pan y Deli,2,2
SE-DEL251-13754,IRO IRO TÉ OOLONG Frío [16 oz],Pan y Deli,6,6
SE-DEL251-13756,IRO IRO JAZMÍN FRIO [16 OZ],Pan y Deli,6,6
SE-DEL251-13757,IRO IRO TÉ VERDE COLD BREW [16 OZ],Pan y Deli,8,8
SE-DEL251-13758,IRO IRO TÉ NEGRO COL BREW [16 oz],Pan y Deli,3,3
SE-DEL251-13759,IRO IRO TÉ OOLONG COLD BREW [16 oz],Pan y Deli,5,5
SE-DEL251-13760,IRO IRO HOJICHA COLD BREW [16 oz],Pan y Deli,7,7
SE-DEL251-13761,IRO IRO JAZMÍN COL BREW [16 oz],Pan y Deli,6,6
SE-DEL251-13762,IRO IRO MATCHA LATTE CALIENTE [12 oz],Pan y Deli,3,3
SE-DEL251-13763,IRO IRO TARO LATTE CALIENTE [12 oz],Pan y Deli,2,2
SE-DEL251-13765,IRO IRO MATCHA LATTE FRÍO [16 OZ],Pan y Deli,13,13
SE-DEL251-13766,IRO IRO TARO LATTE FRÍO [16 OZ],Pan y Deli,7,7
SE-DEL251-13768,IRO IRO MATCHA LATTE FRAPPE [16 OZ],Pan y Deli,4,4
SE-DEL251-13769,IRO IRO TARO LATTE FRAPPE [16 oz],Pan y Deli,6,6
SE-DEL251-13771,IRO IRO TÉ VERDE MILK TEA [16 OZ],Pan y Deli,4,4
SE-DEL251-13772,IRO IRO TÉ NEGRO MILK TEA [16 OZ],Pan y Deli,7,7
SE-DEL251-13773,IRO IRO TÉ OOLONG MILK TEA [16 OZ],Pan y Deli,8,8
SE-DEL251-13774,IRO IRO TÉ HOJICHA MILK TEA [16 OZ],Pan y Deli,6,6
SE-DEL251-13775,IRO IRO TÉ JAZMÍN MILK TEA [16 OZ],Pan y Deli,7,7
SE-DEL251-13908,IRO IRO MOCKTAIL OOLONG CITRICOS,Pan y Deli,6,6
SE-DEL251-13909,IRO IRO MOCKTAIL JAZMIN CITRICOS,Pan y Deli,3,3
SE-DEL251-14358,IRO IRO TÉ HOJICHA LATTE CALIENTE 12 OZ,Bebidas,1,1
SE-DEL251-14359,IRO IRO TÉ HOJICHA LATTE FRIO 16 OZ,Bebidas,1,1
SE-DEL251-14360,IRO IRO TÉ HOJICHA LATTE FRAPPE 16 OZ,Pan y Deli,2,2
SE-DEL251-3880,TOYO TE NEGRO SABOR DURAZNO S/L,Pan y Deli,10,10
SE-DEL251-3884,TOYO TE NEGRO SABOR FRESA S/L,Pan y Deli,10,10
SE-DEL251-3885,TOYO TE NEGRO SABOR FRESA SIN TAPIOCA,Pan y Deli,1,1
SE-DEL251-3888,TOYO TE NEGRO SABOR KIWI S/L,Pan y Deli,8,8
SE-DEL251-3892,TOYO TE NEGRO SABOR LYCHEE S/L,Pan y Deli,22,22
SE-DEL251-3893,TOYO TE NEGRO SABOR LYCHEE SIN TAPIOCA,Pan y Deli,1,1
SE-DEL251-3896,TOYO TE NEGRO SABOR MANGO S/L,Pan y Deli,14,14
SE-DEL251-3900,TOYO TE NEGRO SABOR MANZANA VERDE S/L,Pan y Deli,11,11
SE-DEL251-3901,TOYO TE NEGRO SABOR MANZANA VERDE SIN TAPIOCA,Pan y Deli,1,1
SE-DEL251-3904,TOYO TE NEGRO SABOR PIÑA S/L,Pan y Deli,6,6
SE-DEL251-3905,TOYO TE NEGRO SABOR PIÑA SIN TAPIOCA,Pan y Deli,2,2
SE-DEL251-3908,TOYO TE NEGRO SABOR PLATANO S/L,Pan y Deli,2,2
SE-DEL251-3912,TOYO TE NEGRO SABOR TARO S/L,Pan y Deli,32,30
SE-DEL251-3913,TOYO TE NEGRO SABOR TARO SIN TAPIOCA,Pan y Deli,1,1
SE-DEL251-3916,TOYO TE VERDE LATTE S/L,Pan y Deli,12,12
SE-DEL251-3917,TOYO TE VERDE LATTE SIN TAPIOCA,Pan y Deli,1,1
SE-DEL252-10134,TOYO PASTEL DE ROLLO GRANDE DE FLAN DECORADO 24 CM,Pan y Deli,2,2
SE-DEL252-10135,TOYO PASTEL DE ROLLO GRANDE DE MATCHA DECORADO 24 CM,Pan y Deli,1,1
SE-DEL252-10136,TOYO PASTEL DE ROLLO GRANDE DE FRESA DECORADO 24 CM,Pan y Deli,2,2
SE-DEL252-10137,TOYO PASTEL DE ROLLO GRANDE CHOCOLATE DECORADO 24 CM,Pan y Deli,1,1
SE-DEL252-10139,TOYO PASTEL DECORADO CHOCOLATE 15 CM,Pan y Deli,2,2
SE-DEL252-10140,TOYO PASTEL DECORADO CHOCOLATE 18 CM,Bebidas,1,1
SE-DEL252-10141,TOYO PASTEL DECORADO CHOCOLATE 21 CM,Pan y Deli,1,1
SE-DEL252-10142,TOYO PASTEL DE ROLLO GRANDE DE CREMA DECORADO 24 CM,Pan y Deli,1,1
SE-DEL252-11473,TOYO UZUMAKI DENISH PAN,Pan y Deli,152,136
SE-DEL252-11877,TOYO MELON PAN DE TEMPORADA,Pan y Deli,2,2
SE-DEL252-13197,TOYO MOCHI AN PAN,Pan y Deli,118,105
SE-DEL252-6093,TOYO MELON PAN FRESA,Pan y Deli,86,77
SE-DEL252-6194,TOYO MELON PAN CHOCO,Pan y Deli,52,48
SE-DEL252-7065,TOYO PAN DE CURRY,Pan y Deli,79,70
SE-DEL252-8359,TOYO PASTEL DECORADO 12 CM,Pan y Deli,2,2
SE-DEL252-8360,TOYO PASTEL DECORADO 15 CM,Pan y Deli,2,2
SE-DEL252-8361,TOYO PASTEL DECORADO 18 CM,Pan y Deli,1,1
SE-DEL252-8362,TOYO PASTEL DECORADO 21 CM,Pan y Deli,3,3
SE-DEL252-9054,TOYO PAN CON SALCHICHA,Pan y Deli,62,56
SE-DEL252-9057,TOYO PAN CON ELOTE Y MAYONESA,Pan y Deli,35,34
SE-DEL252-9058,TOYO PAN CON JAMON Y HUEVO,Pan y Deli,44,41
SE-DEL252-9633,TOYO PAN DE CREMA CUSTARD,Pan y Deli,42,38
SE-DEL252-9934,TOYO SANDWICH DE ATUN PZA,Pan y Deli,32,31
SE-DEL252-9935,TOYO SANDWICH DE HUEVO,Pan y Deli,30,29
SE-DEL252-9936,TOYO SANDWICH DE JAMON Y LECHUGA PZA,Pan y Deli,23,22
SE-DEL252-9937,TOYO SANDWICH DE JAMON EMPANIZADO PZA,Pan y Deli,32,30
SE-DEL252-9990,TOYO SANDWICH MIX HANA PZA,Pan y Deli,29,28
SE-DEL252-9991,TOYO SANDWICH MIX YUKI PZA,Pan y Deli,46,44
SE-DEL252-9993,TOYO SANDWICH MIX TSUKI PZA,Pan y Deli,33,32
SE-DEL299-14180,TOYO VASO CON HIELO 16 OZ.,Otros,2,2
SE-DEL299-14294,MELON PAN + MATCHA LATTE CALIENTE,Pan y Deli,1,1
SE-DEL299-14295,UZUMAKI DENISH PAN + KARUNA LATTE CALIENTE,Pan y Deli,2,2
SE-DEL299-14298,"ONIGIRI TRADICIONAL 5 PIEZAS SABORES: ATUN MAYO, SALMON, CURRY, VEGETARIANO, YAKI",Otros,1,1
SE-DEL299-14300,ANPAN KOSHI + TSUBUTÉ NEGRO MILK TEA,Pan y Deli,1,1
SE-DEL299-14301,PAN TOSTADO DE MIEL + TÉ OOLONG INFUSIÓN,Bebidas,2,2
SE-DEL299-3987,TOYO TE TAPIOCA ADICIONAL,Pan y Deli,5,5
SE-DEL307-14173,PAN 28 TAIYAKI CUSTARD 1 PZ,Pan y Deli,3,3
SE-DEL307-14174,PAN 28 TAIYAKI CHOCO CUSTARD 1 PZ,Pan y Deli,3,3
SE-DEL307-14175,PAN 28 TAIYAKI TSUBU AN 1 PZ,Pan y Deli,2,2
SE-DEL307-14176,PAN 28 TAIYAKI SHIRO AN 1 PZ,Pan y Deli,2,2
SE-DEL307-14177,PAN 28 TAIYAKI SAKURA AN 1 PZ,Pan y Deli,3,3
SE-DEL307-14179,PAN 28 TAIYAKI YAKIMO 1 PZ,Pan y Deli,3,3
SE-DGB155-11965,LEAMAXX TAPIOCA EXPLOSIVA CON JARABE SABOR FRESA 3.2KG,Dulces y Botanas,139,128
SE-DGB156-11966,LEAMAXX TAPIOCA EXPLOSIVA CON JARABE SABOR MANGO 3.2KG,Dulces y Botanas,120,109
SE-DGB157-11967,LEAMAXX TAPIOCA EXPLOSIVA CON JARABE SABOR LICHI 3.2KG,Dulces y Botanas,147,133
SE-DGB158-11968,LEAMAXX TAPIOCA EXPLOSIVA CON JARABE SABOR ARANDANO 3.2KG,Dulces y Botanas,96,89
SE-DGB159-11969,LEAMAXX TAPIOCA EXPLOSIVA CON JARABE SABOR DURAZNO 3.2KG,Dulces y Botanas,179,164
SE-DGB300-10935,OYATSU COMPANY BABY STAR RAMEN CHICKEN 36G,Dulces y Botanas,57,54
