codigo_producto,nombre_producto,categoria,apariciones_visibles,clientes
OT-UTE899-11949,ENDO PINZA PARA YAKINIKU 26 CM,Utensilios,2,2
OT-UTE899-11950,ENDO PINZA PARA YAKINIKU 19.5 CM,Utensilios,10,10
OT-UTE899-11951,ENDO COLADOR SOBA AGE,Utensilios,3,3
OT-UTE899-11952,ENDO COLADOR DE TÉ CHAKOSHI AMI,Utensilios,1,1
OT-UTE899-11953,ENDO PELADOR ANCHO,Utensilios,2,2
OT-UTE899-11954,ENDO REPARACIÓN DE PIEDRA AFILAR TOISHI NAOSHI,Utensilios,3,3
OT-UTE899-12090,ENDO PAPEL ABSORBENTE PARA ACEITE DE TEMPURA 500 PIEZAS,Utensilios,3,3
OT-UTE899-12091,ENDO PAPEL PARA TEMPURA 300 PIEZAS,Utensilios,2,2
OT-UTE899-12149,ENDO TETERA DE HIERRO <BTT-30>,Utensilios,1,1
OT-UTE899-12150,ENDO TETERA DE HIERRO MINI <BTT-31>,Utensilios,1,1
OT-UTE899-12151,ENDO OLLA DE PIEDRA PARA BIBIMBAP 16 CM <QBB-09>,Utensilios,2,2
OT-UTE899-12152,ENDO PARILLA PARA ESTUFA <QGT-01>,Utensilios,1,1
OT-UTE899-12153,ENDO CAJA PARA COMIDA <ROK-1702>,Utensilios,7,7
OT-UTE899-12154,ENDO OLLA PARA CARNE 26 CM <QGV-14>,Utensilios,1,1
OT-UTE899-12156,ENDO MELAMINE PLATO PARA SUSHI M <RTI-79>,Utensilios,2,2
OT-UTE899-12157,ENDO MELAMINE PLATO PARA SUSHI S <RTI-79>,Utensilios,1,1
OT-UTE899-12158,ENDO BANDEJA PARA SASHIMI VERDE L <ANT-09>,Utensilios,2,2
OT-UTE899-12159,ENDO BANDEJA PARA SASHIMI VERDE S <ANT-09>,Utensilios,1,1
OT-UTE899-12160,ENDO BANDEJA PARA SASHIMI AZUL L <ANT-10>,Utensilios,1,1
OT-UTE899-12162,ENDO BANDEJA HANGETSU RYOMEN BON <RBV-05>,Utensilios,1,1
OT-UTE899-12240,ENDO CONTENEDOR PARA COMIDA RBV-88,Utensilios,2,2
OT-UTE899-12241,ENDO CONTENEDOR PARA COMIDA RBV-89,Utensilios,2,2
OT-UTE899-12269,MATSUMI DISPENSADOR DE SALSA DE SOYA CERÁMICA M24-13,Utensilios,5,5
OT-UTE899-12270,MATSUMI DISPENSADOR DE SALSA DE SOYA CERÁMICA M24-14,Utensilios,13,12
OT-UTE899-12271,MATSUMI DISPENSADOR DE SALSA DE SOYA CERÁMICA M24-15,Utensilios,14,14
OT-UTE899-12335,YOUBI CONTENEDOR DE TÉ 887286,Utensilios,5,5
OT-UTE899-12336,YOUBI CONTENEDOR DE TÉ 887262,Utensilios,3,3
OT-UTE899-12337,YOUBI CONTENEDOR DE TÉ 880942,Utensilios,6,6
OT-UTE899-12338,YOUBI CONTENEDOR DE TÉ 880898,Utensilios,2,2
OT-UTE899-12339,YOUBI CONTENEDOR DE TÉ 875931,Utensilios,1,1
OT-UTE899-12340,YOUBI CONTENEDOR DE TÉ 875887,Utensilios,4,4
OT-UTE899-12342,YOUBI CONTENEDOR DE TÉ 847815,Utensilios,6,6
OT-UTE899-12350,PEARL BANDEJA DE HIERRO FUNDIDO PARA TEMPURA HW-7018 31 X 22 X 4,Utensilios,5,4
OT-UTE899-12351,PEARL BANDEJA DE HIERRO FUNDIDO PARA TEMPURA HW-7017 27.5 X 19.5 X 3.5,Utensilios,12,12
OT-UTE899-12353,PEARL PARILLA PARA YAKINIKU HB-6316,Utensilios,12,11
OT-UTE899-12354,PEARL OLLA DE SHABU SHABU ACERO INOXIDABLE 26 CM HB-5969,Utensilios,4,4
OT-UTE899-12355,PEARL OLLA DE SHABU SHABU ACERO INOXIDABLE 21 CM HB-5968,Utensilios,6,6
OT-UTE899-12356,PEARL POSAVASOS DE HIERRO FUNDIDO HB-5330,Utensilios,7,6
OT-UTE899-12357,PEARL POSAVASOS DE HIERRO FUNDIDO HB-5329,Utensilios,6,6
OT-UTE899-12358,PEARL OLLA DE ACERO INOXIDABLE CON TAPA DE VIDRIO 26 CM HB-4788,Utensilios,6,6
OT-UTE899-12359,PEARL OLLA DE ACERO INOXIDABLE CON TAPA DE VIDRIO 20 CM HB-4787,Utensilios,8,8
OT-UTE899-12360,PEARL PARILLA PARA ESTUFA GOTOKU HB-3928,Utensilios,5,5
