codigo,piezas_por_caja,usado_en_portal
OT-UTE805-1925,40,SI
OT-UTE805-4879,40,NO
OT-UTE805-8693,40,SI
OT-UTE805-9293,40,SI
OT-UTE807-0200,200,NO
OT-UTE807-14215,200,NO
OT-UTE807-14216,200,NO
OT-UTE807-14217,200,NO
OT-UTE807-14218,200,NO
OT-UTE807-1945,200,NO
OT-UTE807-1946,100,SI
OT-UTE807-3017,100,SI
OT-UTE807-5310,200,SI
OT-UTE807-5311,200,SI
OT-UTE807-9691,200,SI
OT-UTE807-9800,200,SI
OT-UTE898-5674,3,SI
OT-UTE899-0111,6,NO
OT-UTE899-0156,100,SI
OT-UTE899-0525,20,NO
OT-UTE899-0638,12,NO
OT-UTE899-0650,20,SI
OT-UTE899-0651,10,NO
OT-UTE899-0964,60,SI
OT-UTE899-10025,12,SI
OT-UTE899-10285,16,SI
OT-UTE899-10286,30,SI
OT-UTE899-10439,35,NO
OT-UTE899-1060,10,SI
OT-UTE899-1061,10,SI
OT-UTE899-10749,100,SI
OT-UTE899-10750,100,SI
OT-UTE899-11254,2,NO
OT-UTE899-11928,20,SI
OT-UTE899-11929,12,SI
OT-UTE899-11930,15,SI
OT-UTE899-11931,10,SI
OT-UTE899-11932,14,NO
OT-UTE899-12634,6,SI
OT-UTE899-12635,120,NO
OT-UTE899-12637,12,SI
OT-UTE899-12710,12,SI
OT-UTE899-12711,12,SI
OT-UTE899-12712,12,SI
OT-UTE899-1305,35,NO
OT-UTE899-1306,10,NO
OT-UTE899-13167,12,SI
OT-UTE899-13237,16,SI
OT-UTE899-13238,8,SI
OT-UTE899-13239,8,SI
OT-UTE899-13240,100,SI
OT-UTE899-1347,100,NO
OT-UTE899-13487,8,SI
OT-UTE899-1553,12,NO
OT-UTE899-1698,25,SI
OT-UTE899-1999,10,NO
OT-UTE899-2000,10,NO
OT-UTE899-2001,10,NO
OT-UTE899-2110,8,NO
OT-UTE899-3039,100,NO
OT-UTE899-3040,50,NO
OT-UTE899-3041,10,NO
OT-UTE899-3042,100,NO
OT-UTE899-3043,50,NO
OT-UTE899-3044,50,NO
OT-UTE899-3436,50,NO
OT-UTE899-3501,12,SI
OT-UTE899-3920,1000,NO
OT-UTE899-4060,5,NO
OT-UTE899-4061,12,NO
OT-UTE899-4079,40,NO
OT-UTE899-4130,40,NO
OT-UTE899-4131,40,NO
OT-UTE899-4132,40,NO
OT-UTE899-4133,40,NO
OT-UTE899-4150,10,SI
OT-UTE899-4151,10,SI
OT-UTE899-4232,20,SI
OT-UTE899-4446,10,NO
OT-UTE899-4492,25,NO
OT-UTE899-4494,10,SI
OT-UTE899-4499,18,NO
OT-UTE899-4500,18,NO
OT-UTE899-4501,24,NO
OT-UTE899-4502,24,NO
OT-UTE899-4617,24,NO
OT-UTE899-4618,24,NO
OT-UTE899-4619,16,NO
OT-UTE899-4620,16,NO
OT-UTE899-4705,20,SI
OT-UTE899-5280,100,SI
OT-UTE899-5281,100,SI
OT-UTE899-5282,100,SI
OT-UTE899-5308,100,SI
OT-UTE899-5954,6,NO
OT-UTE899-5987,20,SI
OT-UTE899-5999,20,SI
OT-UTE899-6044,40,SI
OT-UTE899-6162,30,NO
OT-UTE899-6164,30,NO
OT-UTE899-6421,40,SI
OT-UTE899-8563,40,NO
OT-UTE899-9147,10,SI
OT-UTE899-9327,16,SI
OT-UTE899-9328,100,SI
OT-UTE899-9329,100,NO
OT-UTE899-9330,100,SI
OT-UTE899-9331,16,SI
OT-UTE899-9332,40,NO
OT-UTE899-9333,20,NO
OT-UTE899-9806,36,SI
OT-UTE899-9926,10,NO
RE-ARR149-0186,20,NO
RE-ARR149-2092,12,SI
RE-ARR149-7767,20,SI
RE-BEB151-8550,24,SI
RE-FVL357-0524,10,SI
RE-FVL357-10898,10,SI
RE-FVL357-1238,6,NO
RE-FVL357-1239,24,SI
RE-FVL357-1241,12,SI
RE-FVL357-1243,6,NO
RE-FVL357-1244,6,NO
RE-FVL357-1245,24,SI
RE-FVL357-13336,24,SI
RE-FVL357-13337,60,SI
RE-FVL357-1350,24,SI
RE-FVL357-1361,24,NO
RE-FVL357-14438,10,NO
RE-FVL357-2939,20,NO
RE-FVL357-5712,20,NO
RE-FVL357-6382,12,NO
RE-FVL357-6383,10,NO
RE-FVL357-8322,20,SI
RE-FVL357-8323,20,SI
RE-FVL357-8325,10,SI
RE-FVL357-9606,20,NO
RE-FVL357-9607,20,NO
RE-FVL398-0570,30,NO
RE-FVL398-1180,24,NO
RE-FVL398-1181,24,NO
RE-FVL398-1182,24,NO
RE-FVL398-1514,18,NO
RE-FVL398-1541,18,NO
RE-FVL399-0625,50,NO
RE-FVL399-0626,50,NO
RE-FVL399-12442,15,NO
RE-FVL399-1493,40,NO
RE-PDM450-0568,10,NO
RE-PDM450-0852,80,NO
RE-PDM450-0853,80,NO
RE-PDM450-0854,80,NO
RE-PDM450-1107,48,SI
RE-PDM453-7811,50,NO
RE-PDM499-0104,12,SI
RE-PDM499-10302,10,NO
RE-PDM499-10303,10,NO
RE-PDM499-2857,24,NO
RE-PDM499-7903,45,NO
RE-PDM499-7904,30,NO
RE-SAL501-12984,15,SI
RE-SAL501-13178,20,SI
RE-SAL501-2091,20,NO
RE-SAL501-4676,20,NO
RE-SAL501-4677,20,NO
RE-SAL503-0813,40,SI
RE-SAL503-14140,12,NO
RE-SAL549-12986,3,SI
RE-SAL549-12988,3,SI
RE-SAL549-12989,2,NO
RE-SAL549-12990,3,SI
RE-SAL549-13478,4,SI
RE-SAL549-13479,4,SI
RE-SAL549-13480,4,SI
RE-SAL549-13481,12,SI
RE-SAL549-13482,4,SI
RE-SAL549-13484,4,SI
RE-SAL549-13486,4,SI
RE-SFP601-9826,5,NO
RE-SYE551-0975,6,SI
RE-SYE551-0988,12,SI
RE-SYE551-10012,10,SI
RE-SYE551-10013,10,SI
RE-SYE551-10014,10,SI
RE-SYE551-10015,12,SI
RE-SYE551-1002,12,SI
RE-SYE551-10432,10,SI
RE-SYE551-11472,6,SI
RE-SYE551-11989,12,NO
RE-SYE551-12991,6,SI
RE-SYE551-13093,8,SI
RE-SYE551-13094,8,SI
RE-SYE551-13095,8,SI
RE-SYE551-13549,6,SI
RE-SYE551-13550,6,SI
RE-SYE551-14013,10,SI
RE-SYE551-1522,10,SI
RE-SYE551-2879,6,SI
RE-SYE551-2880,6,SI
RE-SYE551-3537,6,SI
RE-SYE551-3715,6,NO
RE-SYE551-3976,6,NO
RE-SYE551-6118,12,NO
RE-SYE551-6149,8,NO
RE-SYE551-6151,6,NO
RE-SYE551-7892,10,SI
RE-SYE551-9116,6,SI
RE-SYE551-9117,6,SI
RE-SYE551-9119,6,SI
RE-SYE554-12987,3,SI
RE-SYE554-13477,4,SI
RE-SYE556-1836,12,NO
RE-SYE556-4678,8,SI
RE-SYE556-4679,12,SI
RE-SYE556-7659,20,SI
RE-SYE599-0829,15,SI
RE-SYE599-13483,4,SI
RE-SYE599-13493,4,SI
RE-TE654-13122,10,SI
RE-TE654-13179,50,SI
RE-TE654-13180,50,NO
RE-TE654-13181,50,NO
RE-TE654-13733,5,SI
RE-TE654-13734,5,SI
RE-TE654-14415,10,NO
RE-TQO700-0563,24,NO
RE-TQO700-0564,24,NO
RE-TQO700-11374,30,SI
RE-TQO700-12118,30,SI
RE-TQO700-13055,24,SI
RE-TQO700-13056,30,SI
RE-TQO700-13057,30,SI
RE-TQO700-13058,32,SI
RE-TQO700-13352,45,SI
RE-TQO700-8166,24,NO
RE-TQO700-8167,24,NO
RE-TQO700-8709,45,SI
RE-TQO700-8710,45,SI
RE-TQO700-8711,30,SI
RE-TQO700-8712,30,SI
RE-TQO702-0581,12,SI
RE-TQO702-0582,12,SI
RE-TQO702-0583,12,NO
RE-TQO702-0584,12,SI
RE-TQO702-0585,12,SI
RE-TQO702-0586,24,SI
RE-TQO702-0587,24,SI
RE-TQO702-0601,12,NO
RE-TQO702-0602,12,NO
RE-TQO702-4369,24,SI
RE-TQO702-9923,12,NO
RE-TQO749-1033,20,NO
SE-ACC049-6323,50,NO
SE-ACC049-6324,50,NO
SE-ACE050-0701,10,SI
SE-ACE050-0702,24,SI
SE-ACE050-0703,12,SI
SE-ACE050-0971,24,NO
SE-ACE050-0972,12,NO
SE-ACE050-10084,6,SI
SE-ACE050-10085,6,SI
SE-ACE050-10124,24,NO
SE-ACE050-1101,4,SI
SE-ACE050-7079,12,SI
SE-ACE050-8260,12,NO
SE-ACE050-8279,12,NO
SE-ACE050-9983,24,SI
SE-ACE050-9984,12,SI
SE-ACE050-9985,24,SI
SE-ACE050-9986,10,SI
SE-ACE051-12651,12,SI
SE-ACE051-12652,12,SI
SE-ACE052-1882,16,SI
SE-ACE052-3562,12,NO
SE-ACE053-6359,12,NO
SE-ACE053-6362,12,NO
SE-ACE099-0206,24,NO
SE-ACE099-0596,80,SI
SE-ACE099-10396,80,NO
SE-ACE099-10941,6,SI
SE-ACE099-14190,12,SI
SE-ACE099-6325,20,NO
SE-ACE099-6326,20,NO
SE-ACE099-7080,24,SI
SE-ACE099-7081,6,NO
SE-ACE099-8368,6,SI
SE-ACE099-9924,2,SI
SE-ARR101-0066,8,SI
SE-ARR101-1203,12,NO
SE-ARR101-1206,8,SI
SE-ARR101-1889,4,SI
SE-ARR101-3159,8,NO
SE-ARR102-11546,10,NO
SE-ARR102-11547,10,NO
SE-ARR102-11548,10,NO
SE-ARR102-12558,8,NO
SE-ARR102-1815,8,NO
SE-ARR102-1816,4,NO
SE-ARR102-2099,4,NO
SE-ARR102-4622,6,SI
SE-ARR102-5227,8,SI
SE-ARR102-7073,8,NO
SE-ARR103-2884,8,NO
SE-ARR103-3449,32,NO
SE-ARR103-3526,8,SI
SE-ARR103-7738,8,NO
SE-ARR104-2115,12,NO
SE-ARR104-2891,4,NO
SE-ARR149-0528,8,NO
SE-ARR149-0951,20,NO
SE-ARR149-10968,20,SI
SE-ARR149-11326,12,SI
SE-ARR149-11327,12,SI
SE-ARR149-12838,36,SI
SE-ARR149-12839,36,NO
SE-ARR149-12840,36,NO
SE-ARR149-12863,18,NO
SE-ARR149-12864,18,NO
SE-ARR149-12865,18,NO
SE-ARR149-12866,18,NO
SE-ARR149-12867,18,NO
SE-ARR149-12997,8,NO
SE-ARR149-13005,8,SI
SE-ARR149-13380,12,SI
SE-ARR149-13709,12,SI
SE-ARR149-14005,24,SI
SE-ARR149-14006,24,SI
SE-ARR149-14007,24,SI
SE-ARR149-14008,24,SI
SE-ARR149-14009,30,SI
SE-ARR149-14011,20,SI
SE-ARR149-14405,4,NO
SE-ARR149-1442,20,SI
SE-ARR149-1499,10,NO
SE-ARR149-3246,20,NO
SE-ARR149-3450,8,SI
SE-ARR149-3462,24,NO
SE-ARR149-3463,24,NO
SE-ARR149-3464,24,NO
SE-ARR149-3465,24,NO
SE-ARR149-4530,10,NO
SE-ARR149-4531,10,NO
SE-ARR149-4532,10,NO
SE-ARR149-4897,20,NO
SE-ARR149-4898,20,SI
SE-ARR149-5228,12,NO
SE-ARR149-7798,20,SI
SE-ARR149-7871,24,SI
SE-ARR149-7876,24,SI
SE-ARR149-7877,24,SI
SE-ARR149-7990,8,NO
SE-ARR149-9680,20,SI
SE-ARR149-9681,20,SI
SE-BEB150-10041,12,NO
SE-BEB150-10397,30,SI
SE-BEB150-10690,12,SI
SE-BEB150-10691,12,SI
SE-BEB150-10917,20,SI
SE-BEB150-10918,20,SI
SE-BEB150-10934,12,SI
SE-BEB150-11071,12,NO
SE-BEB150-11911,12,SI
SE-BEB150-12592,50,SI
SE-BEB150-12593,50,SI
SE-BEB150-12594,50,SI
SE-BEB150-13233,12,SI
SE-BEB150-13474,50,SI
SE-BEB150-1404,30,NO
SE-BEB150-2735,12,NO
SE-BEB150-2736,12,NO
SE-BEB150-4534,24,NO
SE-BEB150-4535,24,NO
SE-BEB150-4536,24,NO
SE-BEB150-6197,12,NO
SE-BEB150-6327,20,NO
SE-BEB150-6328,20,NO
SE-BEB150-6329,20,NO
SE-BEB150-6418,24,NO
SE-BEB150-7726,12,SI
SE-BEB150-7862,12,SI
SE-BEB150-8452,12,SI
SE-BEB150-8453,12,NO
SE-BEB150-9320,30,NO
SE-BEB151-0032,12,NO
SE-BEB151-0033,24,NO
SE-BEB151-0845,15,NO
SE-BEB151-0920,24,SI
SE-BEB151-10955,24,NO
SE-BEB151-10956,24,SI
SE-BEB151-10957,24,NO
SE-BEB151-11268,24,SI
SE-BEB151-11728,24,NO
SE-BEB151-11729,24,NO
SE-BEB151-13038,24,SI
SE-BEB151-13039,24,SI
SE-BEB151-13040,24,SI
SE-BEB151-13885,24,SI
SE-BEB151-13886,24,SI
SE-BEB151-13887,24,SI
SE-BEB151-13888,24,SI
SE-BEB151-13889,24,SI
SE-BEB151-1429,24,SI
SE-BEB151-1430,24,SI
SE-BEB151-1431,24,SI
SE-BEB151-1432,12,NO
SE-BEB151-5775,24,NO
SE-BEB151-8335,24,NO
SE-BEB151-8336,24,NO
SE-BEB151-8337,24,NO
SE-BEB151-8338,24,NO
SE-BEB151-8339,24,NO
SE-BEB151-8538,24,SI
SE-BEB151-8539,12,NO
SE-BEB151-9946,24,SI
SE-BEB152-0097,12,SI
SE-BEB152-0112,6,NO
SE-BEB152-0113,6,SI
SE-BEB152-0114,6,SI
SE-BEB152-0115,6,SI
SE-BEB152-0116,6,NO
SE-BEB152-0117,6,NO
SE-BEB152-0118,6,SI
SE-BEB152-11976,6,SI
SE-BEB152-11977,6,NO
SE-BEB152-11978,6,SI
SE-BEB152-11979,6,SI
SE-BEB152-11980,6,SI
SE-BEB152-11981,6,SI
SE-BEB152-11982,6,NO
SE-BEB152-11983,6,SI
SE-BEB152-12665,12,NO
SE-BEB152-12666,12,NO
SE-BEB152-12667,12,NO
SE-BEB152-13260,6,SI
SE-BEB152-13261,6,SI
SE-BEB152-13262,6,SI
SE-BEB152-13563,8,SI
SE-BEB152-13566,8,SI
SE-BEB152-14049,20,SI
SE-BEB152-2142,6,NO
SE-BEB152-4155,8,NO
SE-BEB152-4158,8,NO
SE-BEB153-0119,12,SI
SE-BEB153-0121,25,SI
SE-BEB153-0876,20,SI
SE-BEB153-10006,54,SI
SE-BEB153-10007,54,SI
SE-BEB153-10008,54,SI
SE-BEB153-10296,24,NO
SE-BEB153-10297,24,SI
SE-BEB153-10298,24,NO
SE-BEB153-10379,60,NO
SE-BEB153-11094,54,SI
SE-BEB153-11183,36,SI
SE-BEB153-11184,36,SI
SE-BEB153-11185,36,SI
SE-BEB153-11285,24,SI
SE-BEB153-11286,24,SI
SE-BEB153-11287,10,NO
SE-BEB153-11288,10,NO
SE-BEB153-11289,10,NO
SE-BEB153-11290,18,SI
SE-BEB153-11291,18,SI
SE-BEB153-11292,18,SI
SE-BEB153-11293,18,SI
SE-BEB153-11294,18,SI
SE-BEB153-11296,10,NO
SE-BEB153-11748,15,SI
SE-BEB153-11749,15,NO
SE-BEB153-11750,15,NO
SE-BEB153-11751,24,SI
SE-BEB153-4409,60,NO
SE-BEB153-7673,30,SI
SE-BEB154-0543,30,SI
SE-BEB154-10016,30,SI
SE-BEB154-1022,30,NO
SE-BEB154-1023,30,SI
SE-BEB154-10304,24,SI
SE-BEB154-10305,24,SI
SE-BEB154-10306,24,SI
SE-BEB154-10902,24,SI
SE-BEB154-10903,24,SI
SE-BEB154-10904,24,SI
SE-BEB154-10905,24,SI
SE-BEB154-10914,20,SI
SE-BEB154-10915,20,SI
SE-BEB154-10950,24,SI
SE-BEB154-10951,24,SI
SE-BEB154-10952,24,SI
SE-BEB154-10953,24,SI
SE-BEB154-11179,24,NO
SE-BEB154-11180,24,SI
SE-BEB154-11438,20,NO
SE-BEB154-11439,20,NO
SE-BEB154-11440,20,NO
SE-BEB154-11893,24,SI
SE-BEB154-12126,24,SI
SE-BEB154-12127,24,SI
SE-BEB154-12128,24,SI
SE-BEB154-12129,24,SI
SE-BEB154-12130,24,SI
SE-BEB154-12131,24,SI
SE-BEB154-12132,24,SI
SE-BEB154-12133,24,SI
SE-BEB154-12184,24,SI
SE-BEB154-12185,24,SI
SE-BEB154-12186,24,SI
SE-BEB154-12242,24,SI
SE-BEB154-12243,24,SI
SE-BEB154-12244,24,SI
SE-BEB154-12245,24,SI
SE-BEB154-12246,24,SI
SE-BEB154-12681,24,SI
SE-BEB154-12701,30,SI
SE-BEB154-12755,24,SI
SE-BEB154-12756,20,SI
SE-BEB154-13715,24,SI
SE-BEB154-13716,24,SI
SE-BEB154-13852,24,SI
SE-BEB154-13853,24,SI
SE-BEB154-13854,24,SI
SE-BEB154-13855,24,SI
SE-BEB154-13856,24,SI
SE-BEB154-13880,24,SI
SE-BEB154-13960,20,SI
SE-BEB154-13961,20,SI
SE-BEB154-13962,20,SI
SE-BEB154-13963,24,SI
SE-BEB154-13964,24,SI
SE-BEB154-13965,24,SI
SE-BEB154-13966,24,SI
SE-BEB154-13967,20,SI
SE-BEB154-13968,20,SI
SE-BEB154-14664,24,NO
SE-BEB154-14665,20,NO
SE-BEB154-1526,30,NO
SE-BEB154-1527,30,NO
SE-BEB154-1528,30,SI
SE-BEB154-2283,30,NO
SE-BEB154-2343,30,SI
SE-BEB154-2344,30,SI
SE-BEB154-2345,30,SI
SE-BEB154-2346,30,SI
SE-BEB154-2848,30,SI
SE-BEB154-3783,30,NO
SE-BEB154-4182,30,NO
SE-BEB154-4183,30,NO
SE-BEB154-4184,24,NO
SE-BEB154-4185,24,NO
SE-BEB154-4186,24,NO
SE-BEB154-4187,24,NO
SE-BEB154-4252,24,NO
SE-BEB154-4773,24,NO
SE-BEB154-9847,24,NO
SE-BEB154-9848,24,SI
SE-BEB154-9849,24,SI
SE-BEB154-9850,24,SI
SE-BEB154-9851,24,SI
SE-BEB154-9852,24,SI
SE-BEB154-9916,30,SI
SE-BEB154-9917,30,SI
SE-BEB154-9918,30,SI
SE-BEB155-12180,24,SI
SE-BEB155-12181,24,SI
SE-BEB155-12182,24,SI
SE-BEB155-12183,24,SI
SE-BEB155-12738,24,SI
SE-BEB155-12739,24,SI
SE-BEB155-12740,24,SI
SE-BEB155-12741,24,SI
SE-BEB155-13147,20,NO
SE-BEB155-13148,20,NO
SE-BEB155-13149,20,NO
SE-BEB155-13150,20,NO
SE-BEB155-13453,24,SI
SE-BEB155-13454,24,SI
SE-BEB155-13455,24,SI
SE-BEB155-13456,24,SI
SE-BEB155-13872,24,SI
SE-BEB155-13873,24,SI
SE-BEB155-13874,24,SI
SE-BEB155-13875,24,SI
SE-BEB155-13876,24,SI
SE-BEB155-13877,24,SI
SE-BEB155-13878,24,SI
SE-BEB155-13879,24,SI
SE-BEB155-14343,12,NO
SE-BEB155-5569,24,NO
SE-BEB155-7600,24,SI
SE-BEB155-7602,30,SI
SE-BEB156-0533,12,NO
SE-BEB156-0534,12,NO
SE-BEB156-0535,12,NO
SE-BEB156-0784,12,NO
SE-BEB156-11204,10,SI
SE-BEB156-11205,6,SI
SE-BEB156-11492,6,NO
SE-BEB156-11493,6,NO
SE-BEB156-11549,6,NO
SE-BEB156-11667,6,SI
SE-BEB156-12054,12,NO
SE-BEB156-13229,12,SI
SE-BEB156-1783,12,NO
SE-BEB156-1802,12,NO
SE-BEB156-4435,12,NO
SE-BEB156-4439,12,NO
SE-BEB156-4444,12,NO
SE-BEB156-4961,12,SI
SE-BEB156-5271,6,NO
SE-BEB156-5564,12,SI
SE-BEB156-5565,24,NO
SE-BEB156-5566,30,SI
SE-BEB156-5567,12,SI
SE-BEB156-5568,6,SI
SE-BEB156-5570,6,NO
SE-BEB156-5571,6,NO
SE-BEB156-5572,6,NO
SE-BEB156-5655,6,SI
SE-BEB156-6349,6,NO
SE-BEB156-6789,12,NO
SE-BEB156-7818,6,SI
SE-BEB156-7819,6,SI
SE-BEB156-7821,6,SI
SE-BEB156-7822,6,SI
SE-BEB156-7823,6,NO
SE-BEB156-7824,6,SI
SE-BEB156-8331,6,SI
SE-BEB156-8781,12,SI
SE-BEB156-9351,12,NO
SE-BEB156-9815,24,NO
SE-BEB157-11037,20,SI
SE-BEB157-11173,6,SI
SE-BEB157-11190,6,SI
SE-BEB157-11191,10,SI
SE-BEB157-11192,6,SI
SE-BEB157-11193,10,SI
SE-BEB157-11194,6,SI
SE-BEB157-11195,10,SI
SE-BEB157-11196,6,SI
SE-BEB157-11197,10,SI
SE-BEB157-11198,6,SI
SE-BEB157-11201,6,SI
SE-BEB157-11202,6,SI
SE-BEB157-11203,6,SI
SE-BEB157-11668,30,SI
SE-BEB157-11669,20,SI
SE-BEB157-11670,6,SI
SE-BEB157-11671,12,SI
SE-BEB157-11672,6,SI
SE-BEB157-11674,12,SI
SE-BEB157-11675,6,SI
SE-BEB157-11676,12,SI
SE-BEB157-11677,12,SI
SE-BEB157-11678,12,SI
SE-BEB157-11679,6,SI
SE-BEB157-11680,12,SI
SE-BEB157-11681,12,SI
SE-BEB157-11912,6,SI
SE-BEB157-11913,20,SI
SE-BEB157-11914,12,SI
SE-BEB157-11915,12,SI
SE-BEB157-11916,20,SI
SE-BEB157-1283,12,NO
SE-BEB157-1285,12,NO
SE-BEB157-1287,12,NO
SE-BEB157-1290,12,NO
SE-BEB157-1291,24,NO
SE-BEB157-1292,12,NO
SE-BEB157-1293,12,NO
SE-BEB157-1294,12,NO
SE-BEB157-1295,12,NO
SE-BEB157-1296,6,NO
SE-BEB157-1298,12,NO
SE-BEB157-13019,20,SI
SE-BEB157-13020,20,SI
SE-BEB157-13226,6,SI
SE-BEB157-13227,12,SI
SE-BEB157-13228,12,SI
SE-BEB157-13267,12,SI
SE-BEB157-13268,12,SI
SE-BEB157-13269,12,SI
SE-BEB157-13270,12,SI
SE-BEB157-13271,12,SI
SE-BEB157-13272,12,SI
SE-BEB157-13564,30,SI
SE-BEB157-13565,20,SI
SE-BEB157-13732,6,SI
SE-BEB157-13733,12,SI
SE-BEB157-13734,15,SI
SE-BEB157-13735,6,SI
SE-BEB157-13736,12,SI
SE-BEB157-13737,12,NO
SE-BEB157-13984,4,NO
SE-BEB157-13985,12,NO
SE-BEB157-14158,6,NO
SE-BEB157-14159,6,NO
SE-BEB157-14160,6,NO
SE-BEB157-14161,12,NO
SE-BEB157-14162,6,NO
SE-BEB157-1464,12,NO
SE-BEB157-1465,12,NO
SE-BEB157-1466,24,NO
SE-BEB157-1467,12,NO
SE-BEB157-1469,12,NO
SE-BEB157-1470,6,NO
SE-BEB157-1471,12,NO
SE-BEB157-1472,12,NO
SE-BEB157-1473,24,NO
SE-BEB157-1494,12,NO
SE-BEB157-2328,12,NO
SE-BEB157-2329,6,NO
SE-BEB157-2333,12,SI
SE-BEB157-2334,12,SI
SE-BEB157-2335,12,SI
SE-BEB157-2336,6,SI
SE-BEB157-2338,24,SI
SE-BEB157-2955,6,SI
SE-BEB157-3982,6,SI
SE-BEB157-4456,12,NO
SE-BEB157-5162,12,NO
SE-BEB157-5163,6,NO
SE-BEB157-5164,6,NO
SE-BEB157-5168,30,NO
SE-BEB157-5173,12,NO
SE-BEB157-5176,12,NO
SE-BEB157-5270,6,SI
SE-BEB157-5273,6,NO
SE-BEB157-5411,6,SI
SE-BEB157-5412,12,SI
SE-BEB157-5425,6,NO
SE-BEB157-5608,12,SI
SE-BEB157-5609,12,SI
SE-BEB157-5611,12,SI
SE-BEB157-5612,6,SI
SE-BEB157-5956,12,SI
SE-BEB157-5993,6,NO
SE-BEB157-5994,6,SI
SE-BEB157-5995,12,SI
SE-BEB157-5996,6,NO
SE-BEB157-5997,12,SI
SE-BEB157-6028,6,SI
SE-BEB157-6066,12,SI
SE-BEB157-6067,12,SI
SE-BEB157-6068,12,SI
SE-BEB157-6788,12,NO
SE-BEB157-6790,6,NO
SE-BEB157-7770,12,NO
SE-BEB157-7771,12,NO
SE-BEB157-7815,30,SI
SE-BEB157-7816,12,SI
SE-BEB157-7817,6,SI
SE-BEB157-7820,6,SI
SE-BEB157-7891,12,SI
SE-BEB157-7980,12,SI
SE-BEB157-7981,6,SI
SE-BEB157-7982,6,SI
SE-BEB157-8110,12,SI
SE-BEB157-8111,30,SI
SE-BEB157-8112,12,NO
SE-BEB157-8334,20,NO
SE-BEB157-8779,12,SI
SE-BEB157-8780,6,NO
SE-BEB157-9258,12,NO
SE-BEB157-9344,6,SI
SE-BEB157-9599,6,SI
SE-BEB157-9600,12,SI
SE-BEB157-9601,6,SI
SE-BEB157-9602,12,SI
SE-BEB157-9603,12,NO
SE-BEB157-9604,12,NO
SE-BEB157-9958,6,SI
SE-BEB157-9997,12,SI
SE-BEB158-0715,20,SI
SE-BEB158-10629,6,SI
SE-BEB158-10883,20,SI
SE-BEB158-10884,20,SI
SE-BEB158-10901,20,NO
SE-BEB158-11120,6,SI
SE-BEB158-11121,6,SI
SE-BEB158-11122,6,SI
SE-BEB158-11691,20,SI
SE-BEB158-11867,20,SI
SE-BEB158-11868,20,NO
SE-BEB158-11869,20,NO
SE-BEB158-11870,20,SI
SE-BEB158-11871,20,SI
SE-BEB158-12051,20,NO
SE-BEB158-12052,20,NO
SE-BEB158-12053,20,NO
SE-BEB158-12204,20,SI
SE-BEB158-12205,20,SI
SE-BEB158-12206,20,SI
SE-BEB158-12208,20,SI
SE-BEB158-12209,20,SI
SE-BEB158-12210,20,SI
SE-BEB158-12211,20,SI
SE-BEB158-12212,20,SI
SE-BEB158-12213,20,SI
SE-BEB158-12994,20,SI
SE-BEB158-12995,20,SI
SE-BEB158-13016,24,SI
SE-BEB158-13017,24,SI
SE-BEB158-13018,24,NO
SE-BEB158-13036,6,SI
SE-BEB158-13037,6,SI
SE-BEB158-13225,6,SI
SE-BEB158-13330,6,SI
SE-BEB158-13495,6,SI
SE-BEB158-13969,20,SI
SE-BEB158-13970,20,SI
SE-BEB158-13971,20,SI
SE-BEB158-1428,12,NO
SE-BEB158-1549,6,NO
SE-BEB158-1784,12,NO
SE-BEB158-1785,12,NO
SE-BEB158-4960,6,SI
SE-BEB158-4962,6,SI
SE-BEB158-5324,12,SI
SE-BEB158-5776,20,SI
SE-BEB158-5777,20,NO
SE-BEB158-5778,12,SI
SE-BEB158-6069,6,NO
SE-BEB158-6070,6,NO
SE-BEB158-7248,6,SI
SE-BEB158-7826,6,SI
SE-BEB158-7827,12,SI
SE-BEB158-7899,20,SI
SE-BEB158-8059,20,SI
SE-BEB158-8332,6,SI
SE-BEB158-8333,6,SI
SE-BEB158-8372,12,SI
SE-BEB158-8373,12,SI
SE-BEB158-8505,20,SI
SE-BEB158-9836,24,NO
SE-BEB158-9837,24,NO
SE-BEB159-10096,24,SI
SE-BEB159-10909,20,SI
SE-BEB159-10910,20,SI
SE-BEB159-10911,20,SI
SE-BEB159-10912,20,SI
SE-BEB159-10913,20,NO
SE-BEB159-11169,20,SI
SE-BEB159-11722,24,SI
SE-BEB159-11723,24,SI
SE-BEB159-11724,24,SI
SE-BEB159-11725,24,SI
SE-BEB159-11726,24,SI
SE-BEB159-11727,24,SI
SE-BEB159-12488,20,SI
SE-BEB159-12489,20,SI
SE-BEB159-12510,24,NO
SE-BEB159-12595,50,SI
SE-BEB159-12596,50,SI
SE-BEB159-12598,50,SI
SE-BEB159-12599,50,SI
SE-BEB159-12600,50,SI
SE-BEB159-12601,50,SI
SE-BEB159-12808,72,SI
SE-BEB159-12809,72,SI
SE-BEB159-12810,72,SI
SE-BEB159-12811,24,SI
SE-BEB159-12812,24,SI
SE-BEB159-12824,50,SI
SE-BEB159-12825,50,SI
SE-BEB159-12826,50,SI
SE-BEB159-1334,24,NO
SE-BEB159-1337,24,NO
SE-BEB159-13468,50,SI
SE-BEB159-13475,50,SI
SE-BEB159-13959,50,SI
SE-BEB159-1406,24,SI
SE-BEB159-14666,30,NO
SE-BEB159-1508,30,SI
SE-BEB159-1509,30,SI
