codigo,piezas_por_caja,usado_en_portal
CO-FVL399-10679,10,SI
CO-FVL399-11269,12,NO
CO-FVL399-11282,24,SI
CO-FVL399-11283,24,SI
CO-FVL399-11721,40,SI
CO-FVL399-12690,4,NO
CO-FVL399-12691,8,NO
CO-FVL399-12692,10,NO
CO-FVL399-12693,20,NO
CO-FVL399-13386,12,NO
CO-FVL399-13551,24,SI
CO-FVL399-13552,24,SI
CO-FVL399-13868,12,NO
CO-FVL399-14393,10,NO
CO-FVL399-2818,12,NO
CO-FVL399-2819,12,NO
CO-FVL399-3721,24,SI
CO-FVL399-3722,24,SI
CO-FVL399-5312,48,NO
CO-FVL399-6921,4,NO
CO-FVL399-6929,6,NO
CO-FVL399-6930,12,NO
CO-FVL399-6932,12,SI
CO-FVL399-6934,12,SI
CO-FVL399-7099,12,NO
CO-FVL399-7107,20,NO
CO-FVL399-7108,12,NO
CO-FVL399-7109,20,NO
CO-FVL399-7554,10,NO
CO-FVL399-7629,6,NO
CO-FVL399-7630,6,NO
CO-FVL399-8114,6,NO
CO-FVL399-8115,12,NO
CO-FVL399-8315,10,SI
CO-FVL399-8387,6,NO
CO-FVL399-8669,6,NO
CO-FVL399-9692,6,NO
CO-FVL399-9798,6,NO
CO-FVL399-9816,12,NO
CO-HYE449-11710,32,NO
CO-HYE449-12214,24,SI
CO-HYE449-12215,24,SI
CO-HYE449-2855,10,NO
CO-HYE449-4124,10,SI
CO-HYE449-7718,10,SI
CO-HYE449-7719,8,SI
CO-HYE449-8129,24,NO
CO-HYE449-8130,24,NO
CO-HYE449-8561,24,NO
CO-PAN307-12882,24,SI
CO-PAN307-12883,24,SI
CO-PAN307-12884,24,SI
CO-PAN307-12885,24,SI
CO-PAN307-14017,18,SI
CO-PAN308-14041,12,SI
CO-PAN308-14042,15,SI
CO-PAN308-14043,20,SI
CO-PDM450-0176,4,SI
CO-PDM450-10128,48,NO
CO-PDM450-10620,8,SI
CO-PDM450-12217,48,SI
CO-PDM450-12218,48,SI
CO-PDM450-12219,60,SI
CO-PDM450-12443,24,SI
CO-PDM450-12444,24,SI
CO-PDM450-12461,8,NO
CO-PDM450-12804,48,SI
CO-PDM450-12805,48,SI
CO-PDM450-12806,48,SI
CO-PDM450-14014,48,SI
CO-PDM450-14015,48,SI
CO-PDM450-14016,48,SI
CO-PDM450-14092,48,SI
CO-PDM450-14093,48,SI
CO-PDM450-14094,48,SI
CO-PDM450-2422,32,NO
CO-PDM450-7101,48,SI
CO-PDM450-8628,12,NO
CO-PDM450-9130,48,SI
CO-PDM450-9773,4,SI
CO-PDM452-10967,20,NO
CO-PDM452-1278,20,SI
CO-PDM452-13639,20,SI
CO-PDM452-13738,20,NO
CO-PDM452-1516,20,NO
CO-PDM452-1517,20,SI
CO-PDM452-1518,20,SI
CO-PDM452-7721,20,SI
CO-PDM452-7974,20,NO
CO-PDM452-9155,12,SI
CO-PDM452-9671,20,NO
CO-PDM453-0949,4,SI
CO-PDM453-10042,10,SI
CO-PDM453-1029,48,NO
CO-PDM453-12453,6,NO
CO-PDM453-12454,10,SI
CO-PDM453-12456,12,NO
CO-PDM453-12459,8,SI
CO-PDM453-12460,8,SI
CO-PDM453-12462,8,SI
CO-PDM453-13027,12,SI
CO-PDM453-13726,10,SI
CO-PDM453-5320,20,NO
CO-PDM453-6235,40,NO
CO-PDM453-6236,48,NO
CO-PDM453-6238,48,NO
CO-PDM453-6239,100,NO
CO-PDM453-6240,100,NO
CO-PDM453-6243,24,NO
CO-PDM453-6384,6,NO
CO-PDM453-6385,4,NO
CO-PDM453-6386,8,NO
CO-PDM453-6387,10,NO
CO-PDM453-6820,24,NO
CO-PDM453-6821,24,NO
CO-PDM453-6822,48,NO
CO-PDM453-6823,100,NO
CO-PDM453-6824,40,NO
CO-PDM453-7048,48,NO
CO-PDM453-7049,48,NO
CO-PDM453-7050,48,NO
CO-PDM453-7051,80,NO
CO-PDM453-7095,60,NO
